number,vs,lang,sentence,modif-sentence,Relevance,Quality
1106,коровье молоко VS козье молоко_objA,en,"Но если выпить просто, я люблю свежее сырое коровье молоко больше, чем козье молоко.","Но если выпить просто, я люблю свежее сырое коровье молоко больше, чем козье молоко.",2,1
1107,коровье молоко VS козье молоко_objB,en,"Козье молоко намного легче переваривать (и лучше для вас), чем коровье молоко.","Козье молоко намного легче переваривать (и лучше для вас), чем коровье молоко.",2,2
1108,коровье молоко VS козье молоко_objB,en,"Козье молоко намного лучше, чем коровье, а в некоторых случаях даже лучше, чем порошковое новое молоко.","Козье молоко намного лучше, чем коровье, а в некоторых случаях даже лучше, чем порошковое новое молоко.",2,2
1109,коровье молоко VS козье молоко_objB,en,"Козье молоко лучше, чем коровье.","Козье молоко лучше, чем коровье.",2,2
1110,коровье молоко VS козье молоко_objB,en,"Качество козьего молока выше, чем коровье молоко для потребления человеком.","Качество козьего молока выше, чем коровье молоко для потребления человеком.",2,1
1111,коровье молоко VS козье молоко_objB,en,Молоко вкуснее коровьего молока в супермаркете.,Молоко вкуснее коровьего молока в супермаркете.,0,2
1112,коровье молоко VS козье молоко_objB,en,"Козье молоко может перевариваться быстрее, чем коровье молоко.","Козье молоко может перевариваться быстрее, чем коровье молоко.",2,2
1113,коровье молоко VS козье молоко_objB,en,"Козье молоко намного легче переварить, чем коровье.","Козье молоко намного легче переварить, чем коровье.",2,2
1114,коровье молоко VS козье молоко_objB,en,"Молоко козье легче коровьего молока, полезно для размножения веса и легче переваривать для чувствительных людей.","Молоко козье легче коровьего молока, полезно для размножения веса и легче переваривать для чувствительных людей.",2,1
1115,коровье молоко VS козье молоко_objB,en,"Вот пять причин, по которым козье молоко лучше, чем коровье.","Вот пять причин, по которым козье молоко лучше, чем коровье.",2,2
1116,коровье молоко VS козье молоко_objB,en,"По словам козьего размножения, козье молоко намного круче коровьего.","По словам козьего размножения, козье молоко намного круче коровьего.",2,1
1117,коровье молоко VS козье молоко_objA,ru,Почему козье молоко дороже коровьего Козье молоко от 2 до 4 раз дороже коровьего.,Почему козье молоко дороже коровьего Козье молоко от 2 до 4 раз дороже коровьего.,2,1
1118,коровье молоко VS козье молоко_objA,ru,"При сравнении козьего молока с коровьим необходимо выделить, что коровье обладает некоторыми недостатками и существенно уступает молоку от козы.","При сравнении козьего молока с коровьим необходимо выделить, что коровье обладает некоторыми недостатками и существенно уступает молоку от козы.",2,2
1119,коровье молоко VS козье молоко_objA,ru,"Заменить материнское молоко можно на коровье, но лучше на козье.","Заменить материнское молоко можно на коровье, но лучше на козье.",2,2
1120,коровье молоко VS козье молоко_objA,ru,"В козьем молоке, в отличие от коровьего, присутствуют только следовые количества этого аллергена. содержание лактозы в козьем молоке почти на 1% меньше, чем в коровьем.","В козьем молоке, в отличие от коровьего, присутствуют только следовые количества этого аллергена. содержание лактозы в козьем молоке почти на 1% меньше, чем в коровьем.",2,2
1121,коровье молоко VS козье молоко_objA,ru,"Используя эту информацию, можно сказать, что козье молоко намного ближе по составу к коровьему молоку, чем к грудному молоку.","Используя эту информацию, можно сказать, что козье молоко намного ближе по составу к коровьему молоку, чем к грудному молоку.",2,2
1122,коровье молоко VS козье молоко_objA,ru,Содержание жира в козьем молоке очень низкое по сравнению с коровьим молоком.,Содержание жира в козьем молоке очень низкое по сравнению с коровьим молоком.,2,2
1123,коровье молоко VS козье молоко_objA,ru,"Хотя козье молоко действительно содержит такое же количество сахара, как и коровье молоко, козье молоко имеет свои преимущества.","Хотя козье молоко действительно содержит такое же количество сахара, как и коровье молоко, козье молоко имеет свои преимущества.",2,2
1124,коровье молоко VS козье молоко_objA,ru,"Цена на козье молоко выше, чем на коровье, потому что козье молоко в основном используется для производства косметических товаров.","Цена на козье молоко выше, чем на коровье, потому что козье молоко в основном используется для производства косметических товаров.",2,2
1125,коровье молоко VS козье молоко_objA,ru,"Если коровье молоко плохо переваривается, то его можно заменить козьим.","Если коровье молоко плохо переваривается, то его можно заменить козьим.",2,2
1126,коровье молоко VS козье молоко_objA,ru,Лактозы в козьем молоке почти на 60% меньше чем в коровьем.,Лактозы в козьем молоке почти на 60% меньше чем в коровьем.,2,2
1127,коровье молоко VS козье молоко_objB,ru,"Кормление коровьим молоком Особенности козьего молока Козье молоко предпочтительнее для котят, чем коровье.","Кормление коровьим молоком Особенности козьего молока Козье молоко предпочтительнее для котят, чем коровье.",2,1
1128,коровье молоко VS козье молоко_objB,ru,"Основным преимуществом козьего молока перед коровьим является то, что молоко козы больше приближено по составу к женскому грудному молоку, чем молоко коровы.","Основным преимуществом козьего молока перед коровьим является то, что молоко козы больше приближено по составу к женскому грудному молоку, чем молоко коровы.",2,2
1129,коровье молоко VS козье молоко_objB,ru,"Так, белков в молоке козы в два раза больше, чем в молоке коровы.","Так, белков в молоке козы в два раза больше, чем в молоке коровы.",2,2
1130,коровье молоко VS козье молоко_objB,ru,"Вкус козьего молока сопоставим с коровьим молоком, но козье молоко обладает более мягким вкусом.","Вкус козьего молока сопоставим с коровьим молоком, но козье молоко обладает более мягким вкусом.",2,2
1131,коровье молоко VS козье молоко_objB,ru,"Было обнаружено, что козье молоко содержит больше магния, чем коровье молоко или молоко буйволиного молока.","Было обнаружено, что козье молоко содержит больше магния, чем коровье молоко или молоко буйволиного молока.",2,2
1132,коровье молоко VS козье молоко_objB,ru,"Маски из козьего молока гораздо активнее, чем из коровьего молока.","Маски из козьего молока гораздо активнее, чем из коровьего молока.",2,1
1133,коровье молоко VS козье молоко_objB,ru,"Просто чтобы вы знали, козье молоко не только съедобно, но и лучше для вас, чем коровье молоко.","Просто чтобы вы знали, козье молоко не только съедобно, но и лучше для вас, чем коровье молоко.",2,1
1134,коровье молоко VS козье молоко_objB,ru,"Если коровье молоко вам не подходит, попробуйте более легкое козье молоко.","Если коровье молоко вам не подходит, попробуйте более легкое козье молоко.",2,2
1135,коровье молоко VS козье молоко_objB,ru,"В молоке женщины нуклеотидов намного больше, чем в молоке коровы или козы.","В молоке женщины нуклеотидов намного больше, чем в молоке коровы или козы.",2,2
1136,коровье молоко VS козье молоко_objB,ru,"Plus, козье молоко на переваривается легче , чем коровье молоко.","Plus, козье молоко на переваривается легче , чем коровье молоко.",2,1
1137,адидас VS найк_objA,en,"Стандартные майки Адидаса намного лучше, чем те, что были на Nike.","Стандартные майки Адидаса намного лучше, чем те, что были на Nike.",2,2
1138,адидас VS найк_objA,en,"Качество Адиды намного выше, чем у Nike.","Качество Адиды намного выше, чем у Nike.",2,1
1139,адидас VS найк_objA,en,"Новая домашняя аптечка намного лучше, чем Адидас, а также материал выглядит и чувствует себя лучше, чем глянцевый набор для финала адидас. Новый второй набор ужасных 3-й набор очень хорош, может увидеть, что он начинает тенденцию с адидасом/найком и т.д. пробовать похожие стиля в следующем сезоне.","Новая домашняя аптечка намного лучше, чем Адидас, а также материал выглядит и чувствует себя лучше, чем глянцевый набор для финала адидас. Новый второй набор ужасных 3-й набор очень хорош, может увидеть, что он начинает тенденцию с адидасом/найком и т.д. пробовать похожие стиля в следующем сезоне.",0,0
1140,адидас VS найк_objA,en,"Бренд Адидаса намного лучше, чем Nike или Umbro.","Бренд Адидаса намного лучше, чем Nike или Umbro.",2,2
1141,адидас VS найк_objA,en,"Я ношу шорты ""Адидас"", потому что они мне нравятся больше, чем ""Найк"".","Я ношу шорты ""Адидас"", потому что они мне нравятся больше, чем ""Найк"".",2,2
1142,адидас VS найк_objA,en,"Adidas TJ 2 будет немного легче (7,8oz), чем Nike TJ 3 (10,0oz).","Adidas TJ 2 будет немного легче (7,8oz), чем Nike TJ 3 (10,0oz).",2,2
1143,адидас VS найк_objA,en,"Всегда был адидасом, просто подходил мне лучше, чем Nike and Asics.","Всегда был адидасом, просто подходил мне лучше, чем Nike and Asics.",2,1
1144,адидас VS найк_objA,en,"Даже уродливые аптечки ""Адидас"" лучше большинства аптечек ""Найк"".","Даже уродливые аптечки ""Адидас"" лучше большинства аптечек ""Найк"".",2,1
1145,адидас VS найк_objA,en,Адидас до сих пор лучше чем конкуренты Nike and Puma в этом году.,Адидас до сих пор лучше чем конкуренты Nike and Puma в этом году.,2,2
1146,адидас VS найк_objA,en,"А ещё мне нравятся их дизайны гораздо больше, и адида мне подходит больше, чем Найк.","А ещё мне нравятся их дизайны гораздо больше, и адида мне подходит больше, чем Найк.",2,1
1147,адидас VS найк_objB,en,NIKE выше Адидаса.,NIKE выше Адидаса.,2,2
1148,адидас VS найк_objB,en,"Если Адидас намного хуже Найка, чем кто-то лучше расскажет НФЛ.","Если Адидас намного хуже Найка, чем кто-то лучше расскажет НФЛ.",2,0
1149,адидас VS найк_objB,en,"Честно говоря, система ваучеров ""Найк"" лучше, чем ""Адидас"".","Честно говоря, система ваучеров ""Найк"" лучше, чем ""Адидас"".",2,2
1150,адидас VS найк_objB,en,"Мы нашли Найк Топливный Пояс лучше, чем Nike Sportwatch и Adidas MiCoach.","Мы нашли Найк Топливный Пояс лучше, чем Nike Sportwatch и Adidas MiCoach.",2,2
1151,адидас VS найк_objB,en,"Он просто подумал: ""Чувак, Найк намного лучше, чем Адидас.","Он просто подумал: ""Чувак, Найк намного лучше, чем Адидас.",2,1
1152,адидас VS найк_objB,en,"Я ношу футболки Nike, потому что они мне нравятся больше, чем Адидас.","Я ношу футболки Nike, потому что они мне нравятся больше, чем Адидас.",2,2
1153,адидас VS найк_objB,en,"Комплекты Адидас могут выглядеть неплохо, но сделаны из еще худшего материала, чем Nike.","Комплекты Адидас могут выглядеть неплохо, но сделаны из еще худшего материала, чем Nike.",2,2
1154,адидас VS найк_objB,en,"Найк работает с этими вещами намного лучше, чем Адидас.","Найк работает с этими вещами намного лучше, чем Адидас.",2,2
1155,адидас VS найк_objB,en,"В результате, Найк может быть немного лучше, чем соперник, Адидас.","В результате, Найк может быть немного лучше, чем соперник, Адидас.",2,2
1156,адидас VS найк_objB,en,"IMHO - по крайней мере, продаёт их новые технологии лучше, чем Adidas.","IMHO - по крайней мере, продаёт их новые технологии лучше, чем Adidas.",0,1
1157,адидас VS найк_objA,ru,"«Найк» я тебе еще не купил, но один человек тут сказал, что не «Найк» самый лучший, а, кажется, «Адидас» или «Пума», что ты думаешь?","«Найк» я тебе еще не купил, но один человек тут сказал, что не «Найк» самый лучший, а, кажется, «Адидас» или «Пума», что ты думаешь?",2,1
1158,адидас VS найк_objA,ru,"КонтактЫ, ок, конечности обутые в кроссовки Найк на худой конец в шлепанцы Адидас движут.","КонтактЫ, ок, конечности обутые в кроссовки Найк на худой конец в шлепанцы Адидас движут.",0,0
1159,адидас VS найк_objA,ru,"Ветровки от «Адидас», как правило, яркие и привлекающие внимание, в то время, как в коллекциях от Найк можно найти более спокойные сочетания пастельных тонов.","Ветровки от «Адидас», как правило, яркие и привлекающие внимание, в то время, как в коллекциях от Найк можно найти более спокойные сочетания пастельных тонов.",2,2
1160,адидас VS найк_objA,ru,"Лидер Главный конкурент Найка в то время был Адидас, по моему и к нашему времени ситуация не изменилась.","Лидер Главный конкурент Найка в то время был Адидас, по моему и к нашему времени ситуация не изменилась.",2,1
1161,адидас VS найк_objA,ru,"Issue #1 — обзор первого баскетбольного силуэта для Донована Митчелла 05.08.2019 Среди именных линеек кроссовок для баскетболистов «Найки» остаётся безусловным лидером, но «Адидас» не намерен оставлять это поле без конкуренции.","Issue #1 — обзор первого баскетбольного силуэта для Донована Митчелла 05.08.2019 Среди именных линеек кроссовок для баскетболистов «Найки» остаётся безусловным лидером, но «Адидас» не намерен оставлять это поле без конкуренции.",2,2
1162,адидас VS найк_objB,ru,"В итоге получилась весьма интересная таблица, где с почти тысячеочковым перевесом Найк обошел Адидас.","В итоге получилась весьма интересная таблица, где с почти тысячеочковым перевесом Найк обошел Адидас.",2,2
1163,адидас VS найк_objB,ru,Но в 1973 году Адидас переживал не лучшие времена и поэтому Найку удалось обойти его и завоевать 50 % долю рынка.,Но в 1973 году Адидас переживал не лучшие времена и поэтому Найку удалось обойти его и завоевать 50 % долю рынка.,2,2
1164,адидас VS найк_objB,ru,"Конкуренты фирмы «Найк» и «Рибок» не упустили этой возможности и заняли позиций, с которых упал «Адидас».","Конкуренты фирмы «Найк» и «Рибок» не упустили этой возможности и заняли позиций, с которых упал «Адидас».",2,2
1165,философия VS психология_objA,ru,"Психология не может существовать без основ философии, философия намного меньше нуждается в психологии.","Психология не может существовать без основ философии, философия намного меньше нуждается в психологии.",2,2
1166,философия VS психология_objA,ru,"В самом деле, вместо того, чтобы рассматривать Ницше как чисто философа, лучше видеть в нем философа-психолога.","В самом деле, вместо того, чтобы рассматривать Ницше как чисто философа, лучше видеть в нем философа-психолога.",0,2
1167,философия VS психология_objA,ru,"После прочтения я еще раз убедился, что книги по психологии это не мое, лучше уж философия...","После прочтения я еще раз убедился, что книги по психологии это не мое, лучше уж философия...",2,1
1168,философия VS психология_objA,ru,"Философ может себе позволить подобный прыжок над бездной, психолог — нет.","Философ может себе позволить подобный прыжок над бездной, психолог — нет.",2,2
1169,философия VS психология_objB,ru,"Правда Лем говорил о психологах, но у философов дела даже еще хуже.","Правда Лем говорил о психологах, но у философов дела даже еще хуже.",2,2
1170,философия VS психология_objB,ru,"Указанная констатация, на мой взгляд, даже более справедлива для психологии, чем для философии.","Указанная констатация, на мой взгляд, даже более справедлива для психологии, чем для философии.",1,2
1171,философия VS психология_objB,ru,"Ее легче найти у психологов и дидактов, нежели у истоpиков философии.","Ее легче найти у психологов и дидактов, нежели у истоpиков философии.",1,2
1172,философия VS психология_objB,ru,"Мы представляем именно историю современной психологии, а не психологию и философию, которые ей предшествовали.","Мы представляем именно историю современной психологии, а не психологию и философию, которые ей предшествовали.",1,2
1173,случайный лес VS деревья решений_objB,ru,"Наша древесина происходит из лесов Северной России, где деревья растут длиннее, качественнее и крепче, чем деревья из европейских лесов.","Наша древесина происходит из лесов Северной России, где деревья растут длиннее, качественнее и крепче, чем деревья из европейских лесов.",0,2
1174,случайный лес VS деревья решений_objB,ru,"Но как и бэггирование, случайный лес не обязательно будет демонстрировать более низкое смещение, чем индивидуальные деревья решений.","Но как и бэггирование, случайный лес не обязательно будет демонстрировать более низкое смещение, чем индивидуальные деревья решений.",2,2
1175,деревянная мульча VS каменная мульча_objA,ru,"Мне нравится использовать мульчу из ценных пород дерева, но некоторые садоводы предпочитают мульчу из листьев, компоста или даже соломы.","Мне нравится использовать мульчу из ценных пород дерева, но некоторые садоводы предпочитают мульчу из листьев, компоста или даже соломы.",1,2
1176,деревянная мульча VS каменная мульча_objA,ru,"Его можно выращивать в зоне 4 USDA с мульчей, но без мульчи хорошо растет в более высоких зонах.","Его можно выращивать в зоне 4 USDA с мульчей, но без мульчи хорошо растет в более высоких зонах.",0,2
1177,деревянная мульча VS каменная мульча_objB,ru,"Откажитесь от мульчи Райнер утверждает, что целесообразней засеять почву растениями, чем покрыть мульчей.","Откажитесь от мульчи Райнер утверждает, что целесообразней засеять почву растениями, чем покрыть мульчей.",0,2
1178,деревянная мульча VS каменная мульча_objB,ru,"Слой «комнатной» мульчи должен быть куда более тонким, чем «садовой». © hempalta Какой может быть мульча для комнатных растений?","Слой «комнатной» мульчи должен быть куда более тонким, чем «садовой». © hempalta Какой может быть мульча для комнатных растений?",0,1
1179,деревянная мульча VS каменная мульча_objB,ru,"Гранулированная мульча и бленды быстрее смешиваются и более приспособлены к работе, чем простая целлюлозная мульча.","Гранулированная мульча и бленды быстрее смешиваются и более приспособлены к работе, чем простая целлюлозная мульча.",0,2
1180,деревянная мульча VS каменная мульча_objB,ru,"Самодельная мульча имеет более высокое качество, чем любая мульча, которую вы можете купить, и приготовление собственной мульчи даст вам чувство выполненного долга и гордости.","Самодельная мульча имеет более высокое качество, чем любая мульча, которую вы можете купить, и приготовление собственной мульчи даст вам чувство выполненного долга и гордости.",0,2
1181,деревянная мульча VS каменная мульча_objB,ru,"Мульча темного цвета Мульча из темного цвета поглощает и удерживает больше тепла от солнца, чем светло-цветная.","Мульча темного цвета Мульча из темного цвета поглощает и удерживает больше тепла от солнца, чем светло-цветная.",0,1
1182,деревянная мульча VS каменная мульча_objB,ru,"Под мульчей хорошо сохраняется влага, так как испарение воды в 10 раз меньше, чем на открытой почве без мульчи.","Под мульчей хорошо сохраняется влага, так как испарение воды в 10 раз меньше, чем на открытой почве без мульчи.",0,2
1183,деревянная мульча VS каменная мульча_objB,ru,С точки зрения первоначальных вложений каменная мульча в два-три раза дороже органической или коровой.,С точки зрения первоначальных вложений каменная мульча в два-три раза дороже органической или коровой.,2,2
1184,дождевая вода VS водопроводная вода_objA,en,"Гамильтон сказал, что дождевая вода лучше, чем кран для растений.","Гамильтон сказал, что дождевая вода лучше, чем кран для растений.",2,1
1185,дождевая вода VS водопроводная вода_objA,en,"Дождевая вода хороша для стирки, она намного лучше, чем вода из крана.","Дождевая вода хороша для стирки, она намного лучше, чем вода из крана.",2,2
1186,дождевая вода VS водопроводная вода_objA,en,"Это дождевая вода, садовые растения и дома планы гораздо лучше с дождевой водой, чем с очищенной водопроводной водой.","Это дождевая вода, садовые растения и дома планы гораздо лучше с дождевой водой, чем с очищенной водопроводной водой.",2,0
1187,дождевая вода VS водопроводная вода_objA,en,"Моя сестра говорит, что дождевая вода как-то ""лучше"", чем вода из крана... так что я, наверное, узнаю!","Моя сестра говорит, что дождевая вода как-то ""лучше"", чем вода из крана... так что я, наверное, узнаю!",2,1
1188,дождевая вода VS водопроводная вода_objA,en,"Дождевая вода лучше, чем вода из крана, так как они предпочитают воду с низким содержанием растворенных солей, но любая вода лучше, чем ни одна!","Дождевая вода лучше, чем вода из крана, так как они предпочитают воду с низким содержанием растворенных солей, но любая вода лучше, чем ни одна!",2,1
1189,дождевая вода VS водопроводная вода_objA,en,"В конце концов, дождевая вода или мягкая вода лучше для покрытия или кожи, чем твёрдая крановая вода.","В конце концов, дождевая вода или мягкая вода лучше для покрытия или кожи, чем твёрдая крановая вода.",2,2
1190,дождевая вода VS водопроводная вода_objA,en,"Дождевая вода не только лучше для садовых растений и цветов, чем хлорированная крановая вода, но и, используя дождевую воду, экономите деньги.","Дождевая вода не только лучше для садовых растений и цветов, чем хлорированная крановая вода, но и, используя дождевую воду, экономите деньги.",2,2
1191,дождевая вода VS водопроводная вода_objA,en,В первых трех случаях дождевая вода значительно лучше водопроводной воды с точки зрения здоровья соответствующих существ.,В первых трех случаях дождевая вода значительно лучше водопроводной воды с точки зрения здоровья соответствующих существ.,2,2
1192,дождевая вода VS водопроводная вода_objA,en,"Я читал, что дождевая вода намного лучше, чем крановая вода, когда речь идет о преимуществах и питательном содержимом, в котором нуждаются растения.","Я читал, что дождевая вода намного лучше, чем крановая вода, когда речь идет о преимуществах и питательном содержимом, в котором нуждаются растения.",2,2
1193,дождевая вода VS водопроводная вода_objA,en,"Не секрет, что дождевая вода намного лучше, чем водопроводная вода, и многие люди рекомендуют, чтобы водопроводная вода сидит 12-24 часа, чтобы хлор рассеивался перед поливанием растений.","Не секрет, что дождевая вода намного лучше, чем водопроводная вода, и многие люди рекомендуют, чтобы водопроводная вода сидит 12-24 часа, чтобы хлор рассеивался перед поливанием растений.",2,1
1194,дождевая вода VS водопроводная вода_objB,en,"Ты прав в том, что водопроводная вода лучше для твоей бетты, чем чистая дождевая вода.","Ты прав в том, что водопроводная вода лучше для твоей бетты, чем чистая дождевая вода.",2,2
1195,дождевая вода VS водопроводная вода_objA,ru,"Водопроводная вода – это здорово, но дождевая вода еще лучше!","Водопроводная вода – это здорово, но дождевая вода еще лучше!",2,1
1196,дождевая вода VS водопроводная вода_objA,ru,"Как повторно выращивать свеклу в воде Можно использовать водопроводную воду, но лучше всего дождевая вода.","Как повторно выращивать свеклу в воде Можно использовать водопроводную воду, но лучше всего дождевая вода.",2,2
1197,дождевая вода VS водопроводная вода_objA,ru,"Поливаются цветущие лианы отстоявшейся водопроводной водой, но лучше использовать дождевую.","Поливаются цветущие лианы отстоявшейся водопроводной водой, но лучше использовать дождевую.",2,2
1198,дождевая вода VS водопроводная вода_objA,ru,"Для полива наиболее подойдет дождевая, снеговая или родниковая вода, несколько хуже — отстоявшаяся водопроводная вода.","Для полива наиболее подойдет дождевая, снеговая или родниковая вода, несколько хуже — отстоявшаяся водопроводная вода.",2,2
1199,дождевая вода VS водопроводная вода_objA,ru,"Воду можно использовать водопроводную, но лучше всего подходит вода отстоянная или дождевая.","Воду можно использовать водопроводную, но лучше всего подходит вода отстоянная или дождевая.",2,2
1200,дождевая вода VS водопроводная вода_objA,ru,"Растения предпочитают дождевую воду водопроводной, потому что дождевая вода мягче (в ней меньше кальция и солей) и, следовательно, лучше для них.","Растения предпочитают дождевую воду водопроводной, потому что дождевая вода мягче (в ней меньше кальция и солей) и, следовательно, лучше для них.",2,2
1201,дождевая вода VS водопроводная вода_objA,ru,"Для полива огорода можно использовать обыкновенную водопроводную воду, но идеальным вариантом считается дождевая вода.","Для полива огорода можно использовать обыкновенную водопроводную воду, но идеальным вариантом считается дождевая вода.",2,2
1202,дождевая вода VS водопроводная вода_objA,ru,"Больше всего для полива подходит дождевая вода, если же ее нету, можно использовать отстоянную водопроводную.","Больше всего для полива подходит дождевая вода, если же ее нету, можно использовать отстоянную водопроводную.",2,2
1203,дождевая вода VS водопроводная вода_objA,ru,"Для роз можно использовать и водопроводную воду, но лучше эти цветы будут себя чувствовать в талой, дождевой, кипяченной или отстоянной воде.","Для роз можно использовать и водопроводную воду, но лучше эти цветы будут себя чувствовать в талой, дождевой, кипяченной или отстоянной воде.",2,2
1204,дождевая вода VS водопроводная вода_objA,ru,"Самая лучшая вода для стирки - дождевая или снеговая, но чаще всего приходится пользоваться водопроводной водой, более жесткой.","Самая лучшая вода для стирки - дождевая или снеговая, но чаще всего приходится пользоваться водопроводной водой, более жесткой.",2,2
1205,дождевая вода VS водопроводная вода_objB,ru,"Дождевую воду также используют, поскольку ее характеристики лучше, чем у артезианской, колодезной и, тем более, водопроводной воды.","Дождевую воду также используют, поскольку ее характеристики лучше, чем у артезианской, колодезной и, тем более, водопроводной воды.",2,2
1206,дождевая вода VS водопроводная вода_objB,ru,Мягкая дождевая или талая вода предпочтительнее для полива по сравнению с водопроводной.,Мягкая дождевая или талая вода предпочтительнее для полива по сравнению с водопроводной.,2,2
1207,дождевая вода VS водопроводная вода_objB,ru,"Растениям гораздо больше нравится дождевая вода (из-за присутствия перекиси водорода), чем водопроводная.","Растениям гораздо больше нравится дождевая вода (из-за присутствия перекиси водорода), чем водопроводная.",2,2
1208,дождевая вода VS водопроводная вода_objB,ru,"Показатель содержания солей в водопроводной воде разный в различных регионах, однако он во много раз превышает таковой для дождевой воды.","Показатель содержания солей в водопроводной воде разный в различных регионах, однако он во много раз превышает таковой для дождевой воды.",2,2
1209,дождевая вода VS водопроводная вода_objB,ru,"Дети устанавливают, что лучшие результаты дает дождевая и снеговая вода, худшие – водопроводная.","Дети устанавливают, что лучшие результаты дает дождевая и снеговая вода, худшие – водопроводная.",2,2
1210,дождевая вода VS водопроводная вода_objB,ru,"В ходе этого исследования ученым удалось выяснить, что дождевая вода лучше усваивается человеком, чем водопроводная или специальная очищенная.","В ходе этого исследования ученым удалось выяснить, что дождевая вода лучше усваивается человеком, чем водопроводная или специальная очищенная.",2,2
